run	workload	prover	log_rows	rows	phase	ms	table	table_rows	span
1	fib_pair	lambda	21	2097152	prove_total	1890.981			
1	fib_pair	lambda	21	2097152	prepass	51.781			
1	fib_pair	lambda	21	2097152	main_commits	587.400			
1	fib_pair	lambda	21	2097152	aux_build	0.001			
1	fib_pair	lambda	21	2097152	aux_commit	0.006			
1	fib_pair	lambda	21	2097152	rounds_2_4	1250.883			
1	fib_pair	lambda	21	2097152	r1_main_lde	357.512			
1	fib_pair	lambda	21	2097152	r1_main_merkle	171.301			
1	fib_pair	lambda	21	2097152	r1_aux_lde	0.000			
1	fib_pair	lambda	21	2097152	r1_aux_merkle	0.000			
1	fib_pair	lambda	21	2097152	table_total	1246.297	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r2_constraints	477.069	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r2_comp_decompose	0.000	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r2_comp_commit	57.636	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r3_ood	190.370	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_deep_comp	150.977	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_deep_extend	53.424	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_fri_commit	311.778	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_queries	2.409	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	prove_total	1910.328			
2	fib_pair	lambda	21	2097152	prepass	51.846			
2	fib_pair	lambda	21	2097152	main_commits	595.474			
2	fib_pair	lambda	21	2097152	aux_build	0.001			
2	fib_pair	lambda	21	2097152	aux_commit	0.005			
2	fib_pair	lambda	21	2097152	rounds_2_4	1262.073			
2	fib_pair	lambda	21	2097152	r1_main_lde	360.553			
2	fib_pair	lambda	21	2097152	r1_main_merkle	185.424			
2	fib_pair	lambda	21	2097152	r1_aux_lde	0.000			
2	fib_pair	lambda	21	2097152	r1_aux_merkle	0.000			
2	fib_pair	lambda	21	2097152	table_total	1257.420	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r2_constraints	476.264	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r2_comp_decompose	0.000	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r2_comp_commit	57.245	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r3_ood	188.830	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r4_deep_comp	152.883	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r4_deep_extend	52.987	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r4_fri_commit	324.388	fib_pair	2097152	
